Centers ROI,Top-Level ROI
Bin Width (nm),0.100
Maximum Distance (nm),10.000
Bin Count,100

Center Ion Count,4070457

Center Ion(s),Cr

Neighbor Ion(s),Si,Cr,Fe,V,Mn,H
Bulk Ion Counts,50077,4070457,7427465,3095,7366,2696
Bulk Concentration (ionic %),0.4331487266498264,35.20804493945069,64.2450028353566,0.026770679333450738,0.06371335184820619,0.023319467361222354
Bulk Density (ions/nm^3),0.12323006127420823,10.016627703816718,18.27759184979206,0.007616211826660432,0.018126338066294264,0.006634348007973029

,Total Counts
Distance (nm),Si,Cr,Fe,V,Mn,H
0.900,0.13966584007909696,12.475768291981604,19.647373411265367,0.008542343887542206,0.021340169213627705,0.007407433412857719
1.000,0.13873654896842927,12.169089155657169,19.540451283416825,0.008441351238672725,0.021013010986444133,0.007296523985249877
1.100,0.13730133699960348,11.88674948150799,19.4395998733594,0.008328303756897706,0.02065529836042596,0.007288262985468328
1.200,0.13615947540406198,11.623615895579723,19.334292356684397,0.008338558133544621,0.020420713691891156,0.007133668997121368
1.300,0.13471471473066082,11.390790481900172,19.239062966618434,0.008243706188598746,0.02005905960160294,0.007124745171700567
1.400,0.13377169445916892,11.175659930574001,19.146522823256838,0.008187116136340374,0.019814971860740282,0.007104367866274312
1.500,0.132807087422759,10.98842085781924,19.0576392241425,0.008100862048571189,0.019530784199343253,0.007019375083176917
1.600,0.1318533714729285,10.818223514151821,18.97417272197931,0.008043955223473936,0.019324142814036917,0.00694482357660496
1.700,0.13073856736749553,10.671188519464549,18.89236874117874,0.008010483160619428,0.019134650915667236,0.006878965239382773
1.800,0.12981877835215547,10.537836774561722,18.817218247608572,0.007945336792131785,0.018968001069606655,0.006866964396597999
1.900,0.12929801848414701,10.425299734633356,18.7419991185427,0.007964272659771473,0.018791602134288078,0.006845090340027028
2.000,0.12862122900098116,10.323887890242167,18.67224754307166,0.007896033067443369,0.018605639531220863,0.006837076839652792
2.100,0.12780809112369365,10.237208713234628,18.603384197631353,0.007843669333157532,0.018602629781537094,0.006798328810415502
2.200,0.1272924112990068,10.16249110013825,18.535767270933466,0.007824739809260725,0.01846356117306881,0.006731123383605917
2.300,0.12667460669523778,10.096407741942151,18.4732141567554,0.007762509753746774,0.018326452004471767,0.006734134455034187
2.400,0.1260900344070095,10.037325610699584,18.41007980910399,0.007739556495699703,0.018248494947996765,0.006683758322879028
2.500,0.12568021289530504,9.987504896824523,18.349110662557333,0.007715920529426979,0.018202581342239132,0.006639207049515005
2.600,0.12512550308353762,9.942028985619086,18.28989942264313,0.0076849349633361244,0.018131041914922534,0.00661681972029827
2.700,0.12463663109861525,9.900589590562907,18.22966934947894,0.0076436054157726415,0.018007987887565944,0.006565235889175146
2.800,0.12425858866065576,9.862110978552689,18.170230493744132,0.007601279287039165,0.017979253468793872,0.0065498626444069645
2.900,0.12381586655375272,9.827214562516733,18.11445942225594,0.0075827228834869035,0.017900590090180548,0.0065341879974535316
3.000,0.12352935408098856,9.795022828927454,18.057330897996103,0.0075435155559364685,0.017861087005690834,0.0065096486070693625
3.100,0.12314559103638859,9.763869608265063,18.00113858271236,0.007523220347293983,0.017758881289177828,0.006498568725238356
3.200,0.12267183282752987,9.734021011557731,17.94553203028387,0.007500670272923997,0.017744640476376604,0.006460016331376955
3.300,0.12234783976032346,9.705879175945778,17.88925949174523,0.007479803188252797,0.01769319928138912,0.006433857393179573
3.400,0.1219600940873522,9.67787076671617,17.833614525523785,0.007467161734693793,0.017676306646792466,0.006417078258020787
3.500,0.12168723323294477,9.650895988911932,17.779354853253903,0.0074188483155957835,0.017616336646958723,0.006391642971550829
3.600,0.12126119687831333,9.62346239611836,17.724224131799954,0.007410299522300078,0.017589153223449398,0.006366279160384617
3.700,0.12091579449872261,9.596758457947299,17.66984548598989,0.007360251644766077,0.0175649948220537,0.006360837955189003
3.800,0.12055791890949381,9.571440046948661,17.616296041871472,0.007342397742844168,0.01749411461056841,0.00632400801998672
3.900,0.12019732174486386,9.545621964862375,17.563257567279337,0.007316318294036236,0.017470315568143668,0.006301714182238365
4.000,0.11988589826119515,9.518662200914955,17.509839285416792,0.007286082902126675,0.017422335412373896,0.00627042796211272
